repository,commit,parent_commit,author_date,subject,architecture_smell,metric_name,metric_before,metric_after,metric_delta,improved,refactoring_labels,ranked_refactoring_labels,top_refactoring_label,input_text,target_text
tika,2b86daf8815f3c8d974f887e4cc064b9159db595,b27dfe0ce70beded9008df90e6a16c2ef66ba9aa,2007-08-17T19:11:25+00:00,TIKA-8: Replaced the jmimeinfo dependency with a trivial mime type detector.,Hub-like Dependency,hub_like_packages,1,1,0,False,Remove Thrown Exception Type,Remove Thrown Exception Type,Remove Thrown Exception Type,Architecture smell: Hub-like Dependency. Metric hub_like_packages changed from 1 to 1. Commit message: TIKA-8: Replaced the jmimeinfo dependency with a trivial mime type detector.,Remove Thrown Exception Type
tika,2b86daf8815f3c8d974f887e4cc064b9159db595,b27dfe0ce70beded9008df90e6a16c2ef66ba9aa,2007-08-17T19:11:25+00:00,TIKA-8: Replaced the jmimeinfo dependency with a trivial mime type detector.,Large Component,large_packages,2,2,0,False,Remove Thrown Exception Type,Remove Thrown Exception Type,Remove Thrown Exception Type,Architecture smell: Large Component. Metric large_packages changed from 2 to 2. Commit message: TIKA-8: Replaced the jmimeinfo dependency with a trivial mime type detector.,Remove Thrown Exception Type
tika,2b86daf8815f3c8d974f887e4cc064b9159db595,b27dfe0ce70beded9008df90e6a16c2ef66ba9aa,2007-08-17T19:11:25+00:00,TIKA-8: Replaced the jmimeinfo dependency with a trivial mime type detector.,Excessive Package Coupling,package_edges,133,131,2,True,Remove Thrown Exception Type,Remove Thrown Exception Type,Remove Thrown Exception Type,Architecture smell: Excessive Package Coupling. Metric package_edges changed from 133 to 131. Commit message: TIKA-8: Replaced the jmimeinfo dependency with a trivial mime type detector.,Remove Thrown Exception Type
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,033a07cf008dfaf63c2d4bb76bebf184f8b7a338,2007-09-24T16:36:47+00:00,"TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Cyclic Dependency,cyclic_packages,2,2,0,False,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type,"Architecture smell: Cyclic Dependency. Metric cyclic_packages changed from 2 to 2. Commit message: TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Change Attribute Type | Change Parameter Type | Change Thrown Exception Type | Rename Class
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,033a07cf008dfaf63c2d4bb76bebf184f8b7a338,2007-09-24T16:36:47+00:00,"TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Hub-like Dependency,hub_like_packages,1,1,0,False,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type,"Architecture smell: Hub-like Dependency. Metric hub_like_packages changed from 1 to 1. Commit message: TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Change Attribute Type | Change Parameter Type | Change Thrown Exception Type | Rename Class
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,033a07cf008dfaf63c2d4bb76bebf184f8b7a338,2007-09-24T16:36:47+00:00,"TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Large Component,large_packages,4,4,0,False,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type,"Architecture smell: Large Component. Metric large_packages changed from 4 to 4. Commit message: TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Change Attribute Type | Change Parameter Type | Change Thrown Exception Type | Rename Class
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,033a07cf008dfaf63c2d4bb76bebf184f8b7a338,2007-09-24T16:36:47+00:00,"TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Excessive Package Coupling,package_edges,149,149,0,False,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type|Change Parameter Type|Change Thrown Exception Type|Rename Class,Change Attribute Type,"Architecture smell: Excessive Package Coupling. Metric package_edges changed from 149 to 149. Commit message: TIKA-17 - Rename all ""Luis"" classes to be ""Tika"" classes",Change Attribute Type | Change Parameter Type | Change Thrown Exception Type | Rename Class
tika,83cb301f046cf5621e6e71bcd907fef52c491078,0c203842869b08afd0d3af2a899f6f6fc5cb0f4f,2007-09-24T17:12:50+00:00,- remove Hadoop/Nutch Configuration and Configurable interfaces - wire together MimeUtils and tika config.xml file - wire together MimeUtils and TikaConfig,Cyclic Dependency,cyclic_packages,2,4,-2,False,Add Attribute Modifier|Change Attribute Type|Inline Method|Rename Attribute,Add Attribute Modifier|Change Attribute Type|Inline Method|Rename Attribute,Add Attribute Modifier,Architecture smell: Cyclic Dependency. Metric cyclic_packages changed from 2 to 4. Commit message: - remove Hadoop/Nutch Configuration and Configurable interfaces - wire together MimeUtils and tika config.xml file - wire together MimeUtils and TikaConfig,Add Attribute Modifier | Change Attribute Type | Inline Method | Rename Attribute
tika,83cb301f046cf5621e6e71bcd907fef52c491078,0c203842869b08afd0d3af2a899f6f6fc5cb0f4f,2007-09-24T17:12:50+00:00,- remove Hadoop/Nutch Configuration and Configurable interfaces - wire together MimeUtils and tika config.xml file - wire together MimeUtils and TikaConfig,Hub-like Dependency,hub_like_packages,1,1,0,False,Add Attribute Modifier|Change Attribute Type|Inline Method|Rename Attribute,Add Attribute Modifier|Change Attribute Type|Inline Method|Rename Attribute,Add Attribute Modifier,Architecture smell: Hub-like Dependency. Metric hub_like_packages changed from 1 to 1. Commit message: - remove Hadoop/Nutch Configuration and Configurable interfaces - wire together MimeUtils and tika config.xml file - wire together MimeUtils and TikaConfig,Add Attribute Modifier | Change Attribute Type | Inline Method | Rename Attribute
tika,83cb301f046cf5621e6e71bcd907fef52c491078,0c203842869b08afd0d3af2a899f6f6fc5cb0f4f,2007-09-24T17:12:50+00:00,- remove Hadoop/Nutch Configuration and Configurable interfaces - wire together MimeUtils and tika config.xml file - wire together MimeUtils and TikaConfig,Large Component,large_packages,4,3,1,True,Add Attribute Modifier|Change Attribute Type|Inline Method|Rename Attribute,Add Attribute Modifier|Change Attribute Type|Inline Method|Rename Attribute,Add Attribute Modifier,Architecture smell: Large Component. Metric large_packages changed from 4 to 3. Commit message: - remove Hadoop/Nutch Configuration and Configurable interfaces - wire together MimeUtils and tika config.xml file - wire together MimeUtils and TikaConfig,Add Attribute Modifier | Change Attribute Type | Inline Method | Rename Attribute
