repository,version,commit,java_files,packages,package_edges,cyclic_packages,max_fan_in,max_fan_out,unstable_dependencies,hub_like_packages,large_packages,median_package_size
tika,before,b27dfe0ce70beded9008df90e6a16c2ef66ba9aa,44,17,133,0,15,12,0,1,2,2.0
tika,after,2b86daf8815f3c8d974f887e4cc064b9159db595,44,17,131,0,15,12,0,1,2,2.0
tika,before,033a07cf008dfaf63c2d4bb76bebf184f8b7a338,61,18,149,2,15,17,0,1,4,2.0
tika,after,f8183f2dffaac516ea48fc3522c302fa4937b26c,61,18,149,2,15,17,0,1,4,2.0
tika,before,0c203842869b08afd0d3af2a899f6f6fc5cb0f4f,61,18,149,2,15,17,0,1,4,2.0
tika,after,83cb301f046cf5621e6e71bcd907fef52c491078,59,18,149,4,15,16,0,1,3,2.0
tika,before,cfe3527af83d582d12a43a6f42ff30bd2d15a379,59,18,138,4,15,16,0,1,3,2.0
tika,after,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,59,18,139,4,15,16,0,1,3,2.0
tika,before,3db20898e5a5ed8fec5457f515d4441e17f178b2,59,18,140,4,15,16,0,1,3,2.0
tika,after,7bdb1c8dea70014b3528736755868c526dfcf834,59,18,140,4,15,16,0,1,3,2.0
tika,before,701d4701b9ec9b523c687284f0f1a79bd8609d9d,59,18,141,4,15,16,0,3,3,2.0
tika,after,a03498cc893044e1f4c01adbbfee13881b02f2db,61,18,141,4,15,16,0,3,3,2.0
tika,before,58c236093a69b39dd98203eb92dc31db549eaf60,62,17,151,5,15,16,0,3,3,2.0
tika,after,62e58ea2e8ccd2ef1a968349408c990914efa6b6,61,17,139,4,15,16,0,1,3,2.0
tika,before,62e58ea2e8ccd2ef1a968349408c990914efa6b6,61,17,139,4,15,16,0,1,3,2.0
tika,after,aceff84889da091010bcd893809427428a8b68a6,59,18,135,4,16,15,0,0,2,2.0
tika,before,c943f692982b70a43b4ddec37bc40e2a3de2d318,64,18,150,4,16,15,0,1,3,2.0
tika,after,d064cb2f7ffd58893e05e327144816ddee6842da,64,18,150,4,16,15,0,1,3,2.0
tika,before,5e0a2b3e155ca8767e3b1b24bd1528a3ae3dc9ff,64,18,146,4,16,15,0,1,3,2.0
tika,after,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,64,14,131,4,12,18,0,1,3,3.0
tika,before,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,64,14,131,4,12,18,0,1,3,3.0
tika,after,e759bbbc8afcc8d490562eb08c14a10c509adc20,64,14,131,4,12,18,0,1,3,3.0
tika,before,1081cb5beded2bd1228de19f74c6349ca674afed,64,14,130,4,12,17,0,1,3,3.0
tika,after,9fce256813d12e7aeef73bfc6ed3896ad414dc24,64,14,130,4,12,17,0,1,3,3.0
tika,before,a328f9c6ad676d51c34c7dd8584bac72438f99dd,66,14,133,4,12,17,0,1,3,4.0
tika,after,b0a87ad5afe05da5087209062c229a53921ca3bf,66,14,133,4,12,17,0,1,3,4.0
tika,before,e1da9a1fc19aa951fca916c850250ebb58eb8675,70,14,136,4,12,17,0,1,3,4.0
tika,after,580824e1088af50d5556e2a01d71311a42a74edc,68,14,135,4,12,17,0,1,3,4.0
tika,before,9ffdd5470b4b66c62b21dac13cb278acf2cad48b,68,14,135,4,12,17,0,1,3,4.0
