repository,commit,architecture_smell,refactoring_type,rank
tika,2b86daf8815f3c8d974f887e4cc064b9159db595,Hub-like Dependency,Remove Thrown Exception Type,1
tika,2b86daf8815f3c8d974f887e4cc064b9159db595,Large Component,Remove Thrown Exception Type,1
tika,2b86daf8815f3c8d974f887e4cc064b9159db595,Excessive Package Coupling,Remove Thrown Exception Type,1
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Cyclic Dependency,Change Attribute Type,1
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Cyclic Dependency,Change Parameter Type,2
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Cyclic Dependency,Change Thrown Exception Type,3
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Cyclic Dependency,Rename Class,4
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Hub-like Dependency,Change Attribute Type,1
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Hub-like Dependency,Change Parameter Type,2
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Hub-like Dependency,Change Thrown Exception Type,3
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Hub-like Dependency,Rename Class,4
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Large Component,Change Attribute Type,1
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Large Component,Change Parameter Type,2
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Large Component,Change Thrown Exception Type,3
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Large Component,Rename Class,4
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Excessive Package Coupling,Change Attribute Type,1
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Excessive Package Coupling,Change Parameter Type,2
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Excessive Package Coupling,Change Thrown Exception Type,3
tika,f8183f2dffaac516ea48fc3522c302fa4937b26c,Excessive Package Coupling,Rename Class,4
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Cyclic Dependency,Add Attribute Modifier,1
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Cyclic Dependency,Change Attribute Type,2
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Cyclic Dependency,Inline Method,3
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Cyclic Dependency,Rename Attribute,4
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Hub-like Dependency,Add Attribute Modifier,1
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Hub-like Dependency,Change Attribute Type,2
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Hub-like Dependency,Inline Method,3
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Hub-like Dependency,Rename Attribute,4
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Large Component,Add Attribute Modifier,1
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Large Component,Change Attribute Type,2
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Large Component,Inline Method,3
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Large Component,Rename Attribute,4
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Excessive Package Coupling,Add Attribute Modifier,1
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Excessive Package Coupling,Change Attribute Type,2
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Excessive Package Coupling,Inline Method,3
tika,83cb301f046cf5621e6e71bcd907fef52c491078,Excessive Package Coupling,Rename Attribute,4
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Cyclic Dependency,Change Variable Type,1
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Cyclic Dependency,Extract Variable,2
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Cyclic Dependency,Invert Condition,3
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Cyclic Dependency,Rename Method,4
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Hub-like Dependency,Change Variable Type,1
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Hub-like Dependency,Extract Variable,2
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Hub-like Dependency,Invert Condition,3
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Hub-like Dependency,Rename Method,4
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Large Component,Change Variable Type,1
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Large Component,Extract Variable,2
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Large Component,Invert Condition,3
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Large Component,Rename Method,4
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Excessive Package Coupling,Change Variable Type,1
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Excessive Package Coupling,Extract Variable,2
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Excessive Package Coupling,Invert Condition,3
tika,d3e678bf2c00961a33854ad3a0ecb0df7dd23b08,Excessive Package Coupling,Rename Method,4
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Cyclic Dependency,Change Variable Type,1
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Cyclic Dependency,Extract Variable,2
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Cyclic Dependency,Rename Method,3
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Cyclic Dependency,Rename Variable,4
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Hub-like Dependency,Change Variable Type,1
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Hub-like Dependency,Extract Variable,2
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Hub-like Dependency,Rename Method,3
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Hub-like Dependency,Rename Variable,4
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Large Component,Change Variable Type,1
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Large Component,Extract Variable,2
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Large Component,Rename Method,3
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Large Component,Rename Variable,4
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Excessive Package Coupling,Change Variable Type,1
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Excessive Package Coupling,Extract Variable,2
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Excessive Package Coupling,Rename Method,3
tika,7bdb1c8dea70014b3528736755868c526dfcf834,Excessive Package Coupling,Rename Variable,4
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Cyclic Dependency,Change Method Access Modifier,1
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Cyclic Dependency,Extract Variable,2
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Cyclic Dependency,Rename Method,3
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Hub-like Dependency,Change Method Access Modifier,1
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Hub-like Dependency,Extract Variable,2
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Hub-like Dependency,Rename Method,3
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Large Component,Change Method Access Modifier,1
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Large Component,Extract Variable,2
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Large Component,Rename Method,3
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Excessive Package Coupling,Change Method Access Modifier,1
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Excessive Package Coupling,Extract Variable,2
tika,a03498cc893044e1f4c01adbbfee13881b02f2db,Excessive Package Coupling,Rename Method,3
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Cyclic Dependency,Change Return Type,1
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Cyclic Dependency,Inline Variable,2
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Cyclic Dependency,Remove Parameter,3
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Cyclic Dependency,Rename Variable,4
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Cyclic Dependency,Replace Attribute With Variable,5
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Cyclic Dependency,Split Parameter,6
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Hub-like Dependency,Change Return Type,1
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Hub-like Dependency,Inline Variable,2
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Hub-like Dependency,Remove Parameter,3
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Hub-like Dependency,Rename Variable,4
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Hub-like Dependency,Replace Attribute With Variable,5
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Hub-like Dependency,Split Parameter,6
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Large Component,Change Return Type,1
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Large Component,Inline Variable,2
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Large Component,Remove Parameter,3
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Large Component,Rename Variable,4
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Large Component,Replace Attribute With Variable,5
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Large Component,Split Parameter,6
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Excessive Package Coupling,Change Return Type,1
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Excessive Package Coupling,Inline Variable,2
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Excessive Package Coupling,Remove Parameter,3
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Excessive Package Coupling,Rename Variable,4
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Excessive Package Coupling,Replace Attribute With Variable,5
tika,62e58ea2e8ccd2ef1a968349408c990914efa6b6,Excessive Package Coupling,Split Parameter,6
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Move Class,1
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Move Method,2
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Change Attribute Access Modifier,3
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Change Attribute Type,4
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Change Class Access Modifier,5
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Change Method Access Modifier,6
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Change Parameter Type,7
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Change Thrown Exception Type,8
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Extract Method,9
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Inline Variable,10
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Move And Rename Class,11
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Remove Attribute Modifier,12
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Remove Parameter Modifier,13
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Rename Attribute,14
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Rename Method,15
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Rename Parameter,16
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Rename Variable,17
tika,aceff84889da091010bcd893809427428a8b68a6,Cyclic Dependency,Replace Attribute With Variable,18
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Extract Method,1
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Move Class,2
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Move Method,3
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Change Attribute Access Modifier,4
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Change Attribute Type,5
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Change Class Access Modifier,6
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Change Method Access Modifier,7
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Change Parameter Type,8
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Change Thrown Exception Type,9
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Inline Variable,10
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Move And Rename Class,11
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Remove Attribute Modifier,12
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Remove Parameter Modifier,13
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Rename Attribute,14
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Rename Method,15
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Rename Parameter,16
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Rename Variable,17
tika,aceff84889da091010bcd893809427428a8b68a6,Hub-like Dependency,Replace Attribute With Variable,18
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Extract Method,1
